Time Interval,Close,Net Chg,Open,High,Low,Tick Count
00:00 - 00:30,23830.89,10.08,23819.96,23834.59,23804.82,360
00:30 - 01:00,23828.54,-2.35,23832.33,23840.19,23822.72,360
01:00 - 01:30,23827.98,-0.56,23827.98,23827.98,23827.98,2
19:00 - 19:30,23663.99,-163.99,23631.79,23676.64,23621.72,360
19:30 - 20:00,23653.98,-10.01,23665.38,23691.65,23635.44,360
20:00 - 20:30,23664.83,10.85,23657.3,23680.43,23628.92,360
20:30 - 21:00,23732.37,67.54,23664.7,23752.22,23660.43,360
21:00 - 21:30,23778.17,45.8,23733.07,23788.25,23717.38,360
21:30 - 22:00,23778.29,0.12,23778.29,23778.29,23778.29,2
22:30 - 23:00,23714.86,-63.43,23744.26,23750.26,23714.34,360
23:00 - 23:30,23707.49,-7.37,23714.43,23718.83,23689.67,360
23:30 - 00:00,23671.82,-35.67,23708.37,23709.53,23666.13,360
00:00 - 00:30,23702.39,30.57,23670.76,23703.55,23666.32,360
00:30 - 01:00,23703.31,0.92,23702.03,23731.78,23682.38,360
01:00 - 01:30,23685.98,-17.33,23685.98,23685.98,23685.98,2
19:00 - 19:30,23796.5,110.52,23741.21,23867.99,23693.72,360
19:30 - 20:00,23780.73,-15.77,23796.58,23796.58,23726.67,360
20:00 - 20:30,23786.29,5.56,23787.16,23817.04,23776.18,360
20:30 - 21:00,23805.55,19.26,23781.93,23837.72,23781.93,360
21:00 - 21:30,23813.68,8.13,23803.77,23821.4,23792.07,360
21:30 - 22:00,23813.52,-0.16,23813.52,23813.52,23813.52,2
22:30 - 23:00,23806.71,-6.81,23828.35,23838.48,23806.42,360
23:00 - 23:30,23815.27,8.56,23807.22,23817.99,23800,360
23:30 - 00:00,23806.25,-9.02,23816.58,23817.05,23799.76,360
00:00 - 00:30,23807.3,1.05,23805.54,23826.31,23799.68,360
00:30 - 01:00,23854.82,47.52,23804.98,23869.73,23800.83,360
01:00 - 01:30,23861.21,6.39,23861.21,23861.21,23861.21,2
19:00 - 19:30,23801.28,-59.93,23849.76,23875.75,23796.09,360
19:30 - 20:00,23820.82,19.54,23801.01,23834.65,23793.94,360
20:00 - 20:30,23870.76,49.94,23815.37,23891.08,23809.52,360
20:30 - 21:00,23877.02,6.26,23867.9,23908.85,23841.26,360
21:00 - 21:30,23872.82,-4.2,23878.7,23881.75,23844.25,360
21:30 - 22:00,23875.75,2.93,23875.75,23875.75,23875.75,2
22:30 - 23:00,23819.86,-55.89,23855.14,23855.14,23811.51,360
23:00 - 23:30,23808.5,-11.36,23825.54,23838.07,23808.5,360
23:30 - 00:00,23794.04,-14.46,23809.34,23821.74,23793.35,360
00:00 - 00:30,23794.12,0.08,23796.13,23827.74,23794.12,360
00:30 - 01:00,23812.5,18.38,23795.53,23820.23,23784.31,360
01:00 - 01:30,23827.73,15.23,23827.73,23827.73,23827.73,2
19:00 - 19:30,23648.69,-179.04,23714.52,23714.52,23603.48,360
19:30 - 20:00,23674.64,25.95,23649.77,23682.04,23619.94,360
20:00 - 20:30,23658.57,-16.07,23675.27,23695.21,23635.92,360
20:30 - 21:00,23688.01,29.44,23658.82,23701.42,23653.33,360
21:00 - 21:30,23702.85,14.84,23686.67,23702.85,23650.21,360
21:30 - 22:00,23704.59,1.74,23704.59,23704.59,23704.59,2
22:30 - 23:00,23700.07,-4.52,23728.1,23738.42,23696.04,360
23:00 - 23:30,23683.18,-16.89,23700.26,23703.42,23668.39,360
23:30 - 00:00,23668.22,-14.96,23686.77,23695.63,23668.22,360
00:00 - 00:30,23658.01,-10.21,23666.28,23689.91,23657.84,360
00:30 - 01:00,23678.45,20.44,23658.52,23678.45,23642.76,360
01:00 - 01:30,23687.59,9.14,23687.59,23687.59,23687.59,2
19:00 - 19:30,23420.03,-267.56,23489.78,23503.79,23335.99,360
19:30 - 20:00,23402.42,-17.61,23419.24,23454.45,23398.15,360
20:00 - 20:30,23468.67,66.25,23402.01,23490.87,23388.6,360
20:30 - 21:00,23532.45,63.78,23468.12,23561.98,23458.54,360
21:00 - 21:30,23534.82,2.37,23533.63,23559.14,23527.38,360
21:30 - 22:00,23537.03,2.21,23537.03,23537.03,23537.03,2
22:30 - 23:00,23511.92,-25.11,23510.26,23513.92,23492.93,360
23:00 - 23:30,23469.5,-42.42,23509.34,23509.34,23453.86,360
23:30 - 00:00,23486.93,17.43,23469.28,23489.57,23468.55,360
00:00 - 00:30,23544.95,58.02,23486.66,23547.11,23481.44,360
00:30 - 01:00,23527,-17.95,23545.66,23554.52,23518.83,360
01:00 - 01:30,23523.24,-3.76,23523.24,23523.24,23523.24,2
19:00 - 19:30,23378.74,-144.5,23398.57,23402.01,23343.41,360
19:30 - 20:00,23308.41,-70.33,23374.82,23399.97,23296.8,360
20:00 - 20:30,23294.72,-13.69,23307.51,23330.67,23252.81,360
20:30 - 21:00,23270.32,-24.4,23295.13,23310.89,23228.57,360
21:00 - 21:30,23237.33,-32.99,23269.88,23286.94,23237.33,360
21:30 - 22:00,23237.44,0.11,23237.44,23237.44,23237.44,2
22:30 - 23:00,23158.98,-78.46,23199.31,23204.17,23157.07,360
23:00 - 23:30,23170.09,11.11,23158.74,23178.19,23133.6,360
23:30 - 00:00,23193.94,23.85,23170.25,23195.77,23169.98,360
00:00 - 00:30,23178.39,-15.55,23193.92,23195.88,23162.56,360
00:30 - 01:00,23186.94,8.55,23176.42,23205.76,23166.31,360
01:00 - 01:30,23193.8,6.86,23193.8,23193.8,23193.8,2
19:00 - 19:30,23288.67,94.87,23329.33,23349.65,23267.6,360
19:30 - 20:00,23290.72,2.05,23290.51,23313.98,23268.13,360
20:00 - 20:30,23257.44,-33.28,23292.72,23292.72,23234.96,360
20:30 - 21:00,23321.63,64.19,23258.28,23323.3,23250.36,360
21:00 - 21:30,23361.17,39.54,23320.9,23388.77,23320.9,360
21:30 - 22:00,23359.6,-1.57,23359.6,23359.6,23359.6,2
22:30 - 23:00,23418.92,59.32,23390.72,23424.19,23375.46,360
23:00 - 23:30,23456.16,37.24,23418.57,23468.56,23411.27,360
23:30 - 00:00,23401.28,-54.88,23456.74,23462.8,23399.31,360
00:00 - 00:30,23413.26,11.98,23401.62,23421.17,23400.42,360
00:30 - 01:00,23385.93,-27.33,23411.16,23437.03,23385.93,360
01:00 - 01:30,23400.7,14.77,23400.7,23400.7,23400.7,2
19:00 - 19:30,23756.42,355.72,23666.58,23789.77,23657.86,360
19:30 - 20:00,23770.85,14.43,23747.8,23806.56,23732.91,360
20:00 - 20:30,23742.76,-28.09,23769.25,23769.25,23703.36,360
20:30 - 21:00,23671.47,-71.29,23742.69,23750.31,23669.78,360
21:00 - 21:30,23607.74,-63.73,23672.58,23687.69,23604.44,360
21:30 - 22:00,23607.77,0.03,23607.77,23607.77,23607.77,2
22:30 - 23:00,23437.03,-170.74,23503.35,23514.45,23426.42,360
23:00 - 23:30,23475.83,38.8,23432.59,23507.23,23429.84,360
