Time Interval,Close,Net Chg,Open,High,Low,Tick Count
06:00 - 06:30,7642.33,0.89,7641.49,7644.8,7639.62,2744
06:30 - 07:00,7664.12,21.79,7642.19,7664.2,7640.75,2684
07:00 - 07:30,7661.31,-2.81,7664.12,7664.54,7657.96,3255
07:30 - 08:00,7651.52,-9.79,7661.32,7663.07,7651.46,2188
08:00 - 08:30,7652.04,0.52,7651.61,7652.79,7648.68,2277
08:30 - 09:00,7644.69,-7.35,7652.01,7652.53,7644.48,2592
09:00 - 09:30,7646.74,2.05,7644.74,7648.68,7642.71,2836
09:30 - 10:00,7655.97,9.23,7646.74,7656.53,7646.56,3164
10:00 - 10:30,7656.36,0.39,7655.99,7657.83,7653.46,2786
10:30 - 11:00,7649.15,-7.21,7656.33,7656.36,7649.11,2838
11:00 - 11:30,7649.9,0.75,7649.12,7650.3,7645.04,4238
03:00 - 03:30,7576.92,-72.98,7651.44,7651.44,7562.81,8127
03:30 - 04:00,7571.14,-5.78,7576.96,7578.05,7561.8,5308
04:00 - 04:30,7573.03,1.89,7571.18,7573.72,7564.4,4529
04:30 - 05:00,7556.15,-16.88,7572.31,7572.83,7550.47,4490
05:00 - 05:30,7562.11,5.96,7556.26,7564.24,7554.75,4370
05:30 - 06:00,7566.04,3.93,7562.13,7566.89,7561.1,3383
06:00 - 06:30,7562.72,-3.32,7566.08,7566.55,7556.66,3444
06:30 - 07:00,7578.19,15.47,7562.7,7578.19,7562.69,2976
07:00 - 07:30,7593.08,14.89,7578.19,7593.08,7578.01,3628
07:30 - 08:00,7591.02,-2.06,7593.09,7594.59,7585.05,2841
08:00 - 08:30,7582.09,-8.93,7591.04,7591.61,7578.08,3083
08:30 - 09:00,7581.03,-1.06,7582.09,7584.67,7578.42,2741
09:00 - 09:30,7597.93,16.9,7581.08,7598.7,7581.08,3865
09:30 - 10:00,7599.22,1.29,7597.96,7609.11,7593.85,6512
10:00 - 10:30,7608.08,8.86,7599.18,7608.71,7595.74,5169
10:30 - 11:00,7599.63,-8.45,7608.05,7610.67,7599.63,4747
11:00 - 11:30,7607.99,8.36,7599.58,7608.79,7598.3,5683
03:00 - 03:30,7635.28,27.29,7610.7,7637.35,7610.63,9939
03:30 - 04:00,7616.75,-18.53,7635.21,7636.1,7616.65,6219
04:00 - 04:30,7617.61,0.86,7616.68,7628.82,7615.16,5405
04:30 - 05:00,7620.26,2.65,7617.61,7626.05,7613.48,4345
05:00 - 05:30,7627.57,7.31,7620.34,7630.37,7616.11,3877
05:30 - 06:00,7624.98,-2.59,7627.54,7632.73,7624.07,3596
06:00 - 06:30,7608.02,-16.96,7624.95,7624.95,7607.43,3947
06:30 - 07:00,7605.05,-2.97,7608,7612.84,7603.73,4286
07:00 - 07:30,7598.07,-6.98,7605.05,7605.23,7593.17,4301
07:30 - 08:00,7590.34,-7.73,7598.12,7600.35,7587.6,3979
08:00 - 08:30,7591.33,0.99,7590.39,7591.41,7586.01,3927
08:30 - 09:00,7588.05,-3.28,7591.32,7593.19,7587.45,3738
09:00 - 09:30,7582.83,-5.22,7588.03,7589.1,7582.01,3844
09:30 - 10:00,7589.43,6.6,7582.76,7589.96,7575.4,5864
10:00 - 10:30,7583.68,-5.75,7589.45,7591.93,7577.78,5388
10:30 - 11:00,7575.59,-8.09,7583.65,7586.67,7575.54,5478
11:00 - 11:30,7563.54,-12.05,7575.61,7576.43,7563.52,6511
03:00 - 03:30,7534.39,-29.15,7571.92,7572.13,7533.34,9083
03:30 - 04:00,7542.66,8.27,7534.47,7549.8,7534.33,5805
04:00 - 04:30,7563.85,21.19,7542.63,7564.48,7541.49,4769
04:30 - 05:00,7553.61,-10.24,7563.86,7566.66,7551.14,4053
05:00 - 05:30,7552.59,-1.02,7553.6,7557.74,7548.45,3882
05:30 - 06:00,7558.65,6.06,7552.62,7559,7549.96,3187
06:00 - 06:30,7554.45,-4.2,7558.65,7559.6,7553.06,3229
06:30 - 07:00,7555.86,1.41,7554.43,7558.55,7549.58,3069
07:00 - 07:30,7546.94,-8.92,7555.86,7557.84,7545.15,3289
07:30 - 08:00,7545.58,-1.36,7547.02,7547.53,7539.48,3236
08:00 - 08:30,7536.58,-9,7545.54,7545.95,7535.51,3396
08:30 - 09:00,7544.13,7.55,7536.56,7545.67,7536.35,3852
09:00 - 09:30,7537.36,-6.77,7544.11,7544.2,7536.19,4648
09:30 - 10:00,7521.51,-15.85,7537.41,7538.52,7511.3,8707
10:00 - 10:30,7520.28,-1.23,7521.53,7531.9,7517.98,5859
10:30 - 11:00,7509.66,-10.62,7520.5,7526.59,7505.85,5434
11:00 - 11:30,7505.02,-4.64,7509.58,7513.04,7503.17,7012
03:00 - 03:30,7600.95,95.93,7507.67,7600.95,7507.59,9891
03:30 - 04:00,7610.38,9.43,7601.07,7621.44,7592.32,7818
04:00 - 04:30,7604.44,-5.94,7610.39,7619.86,7604.26,6381
04:30 - 05:00,7622.34,17.9,7604.38,7625.13,7603.82,6948
05:00 - 05:30,7633.8,11.46,7622.37,7639.43,7620.92,5229
05:30 - 06:00,7614.57,-19.23,7633.73,7642.21,7614.55,5009
06:00 - 06:30,7624.28,9.71,7614.55,7630.45,7614.19,4170
06:30 - 07:00,7632.14,7.86,7624.32,7632.7,7622.75,3791
07:00 - 07:30,7632.79,0.65,7632.14,7632.98,7626.12,4292
07:30 - 08:00,7629.32,-3.47,7632.75,7634.25,7626.68,3237
08:00 - 08:30,7631.64,2.32,7629.3,7634.41,7629.1,3035
08:30 - 09:00,7623.21,-8.43,7631.67,7632.69,7623.14,3298
09:00 - 09:30,7614.73,-8.48,7623.17,7623.21,7614.58,3791
09:30 - 10:00,7608.74,-5.99,7614.74,7615.37,7595.27,6942
10:00 - 10:30,7585.38,-23.36,7608.75,7609.23,7585.38,6452
