Time Interval,Close,Net Chg,Open,High,Low,Tick Count
13:30 - 14:00,3288.06,-1.29,3289.36,3290.38,3287.41,1800
14:00 - 14:30,3289.55,1.49,3288.02,3293.47,3286.17,1800
14:30 - 15:00,3285.55,-4,3289.54,3290.17,3285.53,1800
15:00 - 15:30,3282.25,-3.3,3285.91,3286.38,3275.23,1800
15:30 - 16:00,3273.64,-8.61,3282.27,3283.63,3273.17,1800
16:00 - 16:30,3273.4,-0.24,3273.49,3273.51,3273.4,900
09:30 - 10:00,3259.36,-14.04,3256.45,3265.63,3250.66,1800
10:00 - 10:30,3259.57,0.21,3259.6,3265.72,3257.05,1800
10:30 - 11:00,3244.28,-15.29,3259.58,3259.59,3242.8,1800
11:00 - 11:30,3256.62,12.34,3244.26,3257.86,3243.76,1800
11:30 - 12:00,3259.03,2.41,3256.75,3263.94,3254.76,1800
12:00 - 12:30,3252.95,-6.08,3259.14,3260.48,3252.89,1800
12:30 - 13:00,3249.72,-3.23,3252.88,3254.21,3245.92,1800
13:00 - 13:30,3251.28,1.56,3249.76,3252.53,3247.78,1800
13:30 - 14:00,3252.17,0.89,3251.27,3253.92,3249.97,1800
14:00 - 14:30,3258.45,6.28,3252.31,3259.89,3251.87,1800
14:30 - 15:00,3265.74,7.29,3258.48,3267.98,3254.74,1800
15:00 - 15:30,3271.33,5.59,3266.41,3273.67,3264.86,1800
15:30 - 16:00,3283.59,12.26,3271.27,3285.91,3270.71,1800
16:00 - 16:30,3283.66,0.07,3283.52,3283.66,3283.52,900
09:30 - 10:00,3267.38,-16.28,3282.33,3282.33,3261.28,1800
10:00 - 10:30,3253.4,-13.98,3267.03,3267.03,3253.4,1800
10:30 - 11:00,3246.23,-7.17,3253.01,3255.72,3244.72,1800
11:00 - 11:30,3236.61,-9.62,3246.24,3249.79,3235.1,1800
11:30 - 12:00,3247.34,10.73,3237.09,3247.34,3233.34,1800
12:00 - 12:30,3241.13,-6.21,3247.32,3247.32,3238.15,1800
12:30 - 13:00,3233.64,-7.49,3241.08,3241.08,3228.43,1800
13:00 - 13:30,3230.54,-3.1,3233.58,3237.72,3228.03,1800
13:30 - 14:00,3231.3,0.76,3230.56,3231.37,3223.84,1800
14:00 - 14:30,3230.49,-0.81,3231.34,3236.17,3228.91,1800
14:30 - 15:00,3232.05,1.56,3229.77,3238.46,3229.49,1800
15:00 - 15:30,3221.97,-10.08,3232.15,3233.82,3221.97,1800
15:30 - 16:00,3224.6,2.63,3221.86,3228.43,3214.68,1800
16:00 - 16:30,3225.52,0.92,3224.9,3225.52,3224.9,900
09:30 - 10:00,3258.54,33.02,3235.66,3259.3,3235.66,1800
10:00 - 10:30,3268.13,9.59,3262.54,3268.3,3257.74,1800
10:30 - 11:00,3258.59,-9.54,3268.25,3268.44,3256.32,1800
11:00 - 11:30,3253.95,-4.64,3258.75,3261.86,3253.92,1800
11:30 - 12:00,3249.49,-4.46,3253.96,3254.66,3244.3,1800
12:00 - 12:30,3252.61,3.12,3249.48,3254.47,3246.2,1800
12:30 - 13:00,3255.33,2.72,3252.59,3256,3250.62,1800
13:00 - 13:30,3249.05,-6.28,3255.41,3255.88,3247.65,1800
13:30 - 14:00,3253.32,4.27,3249.01,3253.75,3247.81,1800
14:00 - 14:30,3249.71,-3.61,3253.3,3253.39,3247.36,1800
14:30 - 15:00,3252.15,2.44,3249.74,3254.04,3246.91,1800
15:00 - 15:30,3256.38,4.23,3252.1,3256.38,3250.76,1800
15:30 - 16:00,3248.65,-7.73,3256.35,3256.71,3246.02,1800
16:00 - 16:30,3248.92,0.27,3248.74,3248.93,3248.74,900
09:30 - 10:00,3294.49,45.57,3280.61,3296.07,3280.61,1800
10:00 - 10:30,3297.83,3.34,3295.16,3297.83,3289.85,1800
10:30 - 11:00,3296.67,-1.16,3297.95,3300.52,3295.91,1800
11:00 - 11:30,3300.79,4.12,3296.62,3302.25,3295.76,1800
11:30 - 12:00,3302.79,2,3300.83,3305.3,3300.63,1800
12:00 - 12:30,3305.07,2.28,3302.78,3305.65,3302.28,1800
12:30 - 13:00,3304.29,-0.78,3305.09,3305.46,3302.79,1800
13:00 - 13:30,3300.05,-4.24,3304.53,3305.15,3298.26,1800
